rank,station_id,depth_count,avg_missing_rate_percent,max_missing_rate_percent,min_missing_rate_percent,median_missing_rate_percent,std_missing_rate_percent,avg_non_missing_count
34,P7,4,29.198311482024383,58.234461906196856,12.062228986735992,23.248277517582345,20.08367220384061,138624.75
35,C2,4,30.122884883524947,45.82543809022794,20.212162845454127,27.22696929920886,11.10553178709789,136814.5
36,F3,4,32.62948624312412,60.61146210538681,19.172289101244683,25.367096882932486,18.883750525015305,131906.75
37,MS3506,4,33.14393262271889,43.70993855755824,21.90221305153913,33.4817894408891,12.177455605249381,130899.5
38,CD07,4,33.99610813461155,90.31579269943256,11.730756462181999,16.968941688415825,37.857399955501485,129231.0
39,MS3559,4,36.68261888831572,38.571859055226696,35.95634164653486,36.101137425750665,1.266870166745543,123971.0
40,C3,4,37.862308662720324,60.60329020955806,26.422292931820852,32.21182575475119,16.113343295117456,121661.25
41,MS3552,4,38.546832624251124,38.546832624251124,38.546832624251124,38.546832624251124,0.0,120321.0
42,CD05,4,38.57236979871599,38.57236979871599,38.57236979871599,38.57236979871599,0.0,120271.0
43,MS3527,4,39.09792484920298,100.0,2.597130643077127,26.897284376867404,44.62338183923812,119242.0
44,MSNQRW,4,40.419218256015284,100.0,0.489803006236178,30.59353500891248,45.795650312373155,116655.0
45,P1,4,47.12144969432002,77.43841710377797,14.727288513889668,48.16004657980622,28.40484630268803,103532.5
46,P8,4,47.96647479736252,80.29653766988605,31.107853702634923,40.23075390846455,22.56544672939057,101878.0
47,MS3545,4,49.72075099722666,60.88930656356458,39.60968982547895,49.192003799931555,10.205459525915042,98443.25
48,BC03,4,50.287803956219065,100.0,0.5756079124381361,50.287803956219065,57.40269953576874,97333.0
49,MS3593,4,50.98484113323765,55.95143850903761,47.012405959355036,50.487760032278985,4.584094803834878,95968.25
50,P5,4,51.012804339276684,53.59384656244095,48.17332591052795,51.14202244206892,2.441518297804022,95913.5
51,P9,4,59.29706373568003,88.75291762218261,38.971260463857234,54.73203842834013,21.039596246508918,79693.5
52,CD06,4,59.7580097347709,59.7580097347709,59.7580097347709,59.7580097347709,0.0,78791.0
53,BC+,4,68.96326732824974,69.16743703809635,68.89112481038649,68.89725373225805,0.13623573978050532,60767.75
54,F1,4,69.97645472514338,100.0,58.67574428094978,60.61503730981189,20.09903243414636,58784.0
55,CD04,4,70.25736364425694,76.07830719177907,68.2833400581226,68.33390366356305,3.8807040493472273,58234.0
56,P3,4,76.51805733606412,92.85112338030471,70.17462319899077,71.52324138248048,10.96269610827157,45976.0
