station_id,depth_cm,depth_num,total_rows,missing_count,non_missing_count,missing_rate,missing_rate_percent,source_csv
MSNQRW,10cm,10,195793,959,194834,0.00489803006236178,0.489803006236178,SM_NQ-30-minutes_10cm.csv
P1,10cm,10,195793,64930,130863,0.33162574760078245,33.16257476007824,SM_NQ-30-minutes_10cm.csv
P10,10cm,10,195793,28151,167642,0.14377939967210268,14.377939967210269,SM_NQ-30-minutes_10cm.csv
P11,10cm,10,195793,26224,169569,0.13393737263334235,13.393737263334234,SM_NQ-30-minutes_10cm.csv
P2,10cm,10,195793,21699,174094,0.11082622974263635,11.082622974263636,SM_NQ-30-minutes_10cm.csv
P3,10cm,10,195793,181796,13997,0.9285112338030471,92.85112338030471,SM_NQ-30-minutes_10cm.csv
P5,10cm,10,195793,102580,93213,0.5239206713212423,52.39206713212423,SM_NQ-30-minutes_10cm.csv
P7,10cm,10,195793,23617,172176,0.12062228986735991,12.062228986735992,SM_NQ-30-minutes_10cm.csv
P8,10cm,10,195793,66505,129288,0.339669957557216,33.966995755721605,SM_NQ-30-minutes_10cm.csv
P9,10cm,10,195793,103906,91887,0.5306931299893255,53.06931299893255,SM_NQ-30-minutes_10cm.csv
BC+,20cm,20,195793,134884,60909,0.6889112481038648,68.89112481038649,SM_NQ-30-minutes_20cm.csv
BC02,20cm,20,195793,17378,178415,0.08875700357009698,8.875700357009698,SM_NQ-30-minutes_20cm.csv
BC03,20cm,20,195793,195793,0,1.0,100.0,SM_NQ-30-minutes_20cm.csv
BC04,20cm,20,195793,19218,176575,0.0981546837731686,9.815468377316861,SM_NQ-30-minutes_20cm.csv
BC05,20cm,20,195793,7095,188698,0.036237250565648416,3.6237250565648416,SM_NQ-30-minutes_20cm.csv
BC06,20cm,20,195793,31961,163832,0.16323872661433247,16.32387266143325,SM_NQ-30-minutes_20cm.csv
BC07,20cm,20,195793,58122,137671,0.2968543308494175,29.68543308494175,SM_NQ-30-minutes_20cm.csv
BC08,20cm,20,195793,1121,194672,0.00572543451502352,0.572543451502352,SM_NQ-30-minutes_20cm.csv
C1,20cm,20,195793,23142,172651,0.11819625829319741,11.81962582931974,SM_NQ-30-minutes_20cm.csv
C2,20cm,20,195793,49288,146505,0.2517352510048878,25.17352510048878,SM_NQ-30-minutes_20cm.csv
C3,20cm,20,195793,74404,121389,0.3800135857768153,38.00135857768153,SM_NQ-30-minutes_20cm.csv
C4,20cm,20,195793,31345,164448,0.1600925467202607,16.009254672026067,SM_NQ-30-minutes_20cm.csv
CD01,20cm,20,195793,62788,133005,0.3206856220600328,32.06856220600328,SM_NQ-30-minutes_20cm.csv
CD02,20cm,20,195793,23699,172094,0.12104109952858376,12.104109952858376,SM_NQ-30-minutes_20cm.csv
CD03,20cm,20,195793,46644,149149,0.23823119314786534,23.823119314786535,SM_NQ-30-minutes_20cm.csv
CD04,20cm,20,195793,133694,62099,0.6828334005812261,68.2833400581226,SM_NQ-30-minutes_20cm.csv
CD05,20cm,20,195793,75522,120271,0.3857236979871599,38.57236979871599,SM_NQ-30-minutes_20cm.csv
CD06,20cm,20,195793,117002,78791,0.597580097347709,59.7580097347709,SM_NQ-30-minutes_20cm.csv
CD07,20cm,20,195793,23236,172557,0.11867635717313693,11.867635717313693,SM_NQ-30-minutes_20cm.csv
F1,20cm,20,195793,122477,73316,0.62554330338674,62.554330338674,SM_NQ-30-minutes_20cm.csv
F2,20cm,20,195793,49766,146027,0.25417660488372923,25.417660488372924,SM_NQ-30-minutes_20cm.csv
